"ICAO
code[3]","IATA
type code",Model
IL62,IL6,Ilyushin Il-62
IL18,IL8,Ilyushin Il-18
I114,I14,Ilyushin Il-114
HERN,DHH,De Havilland DH.114 Heron
HDJT,HHJ,Honda HA-420
H25C,H25,British Aerospace 125-1000 series / Hawker/Raytheon 1000
H25B,H25,British Aerospace 125 series / Hawker/Raytheon 700/800/800XP/850/900
GLF6,GJ6,Gulfstream G650
GLF5,GJ5,Gulfstream V
GLF4,GJ4,Gulfstream IV
GLEX,CCX,Bombardier Global Express / Raytheon Sentinel
GL5T,CCX,Bombardier BD-700 Global 5000
G280,GR3,Gulfstream G280
G159,GRS,Gulfstream Aerospace G-159 Gulfstream I
G73T,GRM,Grumman G-73 Turbo Mallard
G21,GRG,Grumman G-21 Goose
FA50,DF3,Dassault Falcon 50
FA7X,DF7,Dassault Falcon 7X
F900,DF9,Dassault Falcon 900
F406,CNT,Reims-Cessna F406 Caravan II
F100,100,Fokker 100
F70,F70,Fokker 70
F50,F50,Fokker 50
F28,F21,Fokker F28 Fellowship
F27,F27,Fokker F27 Friendship
F2TH,D20,Dassault Falcon 2000
EXPL,MD9,MD Helicopters MD900 Explorer
EC75,—,Eurocopter EC175
EC55,—,Eurocopter EC155
EC45,—,Eurocopter EC145
EC35,—,Eurocopter EC135 / EC635
EC30,—,Eurocopter EC130
EC25,—,Eurocopter EC225 Super Puma
EC20,—,Eurocopter EC120 Colibri / Harbin HC120
EA50,,Eclipse 500
E550,—,Embraer Legacy 500 / Praetor 600
E545,—,Embraer Legacy 450 / Praetor 500
E295,295,Embraer E195-E2
E290,290,Embraer E190-E2
E195,E95,Embraer 195
E190,E90,Embraer 190 / Lineage 1000
E170,E70,Embraer 170
E145,ER4,Embraer RJ145
E135,ER3,Embraer RJ135
E135,ERD,Embraer RJ140
E120,EM2,Embraer EMB 120 Brasilia
E110,EMB,Embraer EMB 110 Bandeirante
E75S,E75,Embraer 175 (short wing)
E75L,E7W,Embraer 175 (long wing)
E55P,EP3,Embraer Phenom 300
E50P,EP1,Embraer Phenom 100
E35L,ER3,Embraer Legacy 600 / Legacy 650
DOVE,DHD,De Havilland DH.104 Dove
DHC7,DH7,De Havilland Canada DHC-7 Dash 7
DHC6,DHT,De Havilland Canada DHC-6 Twin Otter
DHC5,DHC,De Havilland Canada DHC-5 Buffalo
DHC4,DHC,De Havilland Canada DHC-4 Caribou
DH8D,DH4,De Havilland Canada DHC-8-400 Dash 8Q
DH8C,DH3,De Havilland Canada DHC-8-300 Dash 8 / 8Q
DH8B,DH2,De Havilland Canada DHC-8-200 Dash 8 / 8Q
DH8A,DH1,De Havilland Canada DHC-8-100 Dash 8 / 8Q
DH2T,DHR,De Havilland Canada DHC-2 Turbo-Beaver
DC95,D95,Douglas DC-9-50
DC94,D94,Douglas DC-9-40
DC93,D93,Douglas DC-9-30
DC92,D92,Douglas DC-9-20
DC91,D91,Douglas DC-9-10
DC87,D8Q,Douglas DC-8-72
DC86,D8L,Douglas DC-8-62
DC85,D8T,Douglas DC-8-50
DC10,D11,Douglas DC-10-10 / -15 Passenger
DC10,D1C,Douglas DC-10-30 / -40 Passenger
DC10,D1M,Douglas DC-10-30 Combi
DC10,D1X,Douglas DC-10-10 Freighter
DC10,D1Y,Douglas DC-10-30 / -40 Freighter
DC6,D6F,Douglas DC-6
DC3,D3F,Douglas DC-3
DA62,—,Diamond DA62
DA42,—,Diamond DA42
D328,D38,Fairchild Dornier Do.328
D228,D28,Dornier 228
CVLT,CV5,"Convair CV-580, Convair CV-600, Convair CV-640"
CVLP,CV4,Convair CV-240 & -440
CRJX,CRK,Canadair Regional Jet 1000
CRJ9,CR9,Canadair Regional Jet 900
CRJ7,CR7,Canadair Regional Jet 700 | Regional Jet 550
CRJ2,CR2,Canadair Regional Jet 200
CRJ1,CR1,Canadair Regional Jet 100
CONI,L49,Lockheed L-1049 Super Constellation
CN35,CS5,CASA/IPTN CN-235
CL60,CCJ,Canadair Challenger 600
CL30,—,Bombardier BD-100 Challenger 300
CL2T,—,Bombardier 415
C919,919,COMAC C919
C750,CNJ,Cessna Citation X
C700,CNJ,Cessna Citation Longitude
C680,CNJ,Cessna Citation Sovereign
C650,CNJ,"Cessna Citation III, VI, VII"
C560,CNJ,Cessna Citation V
C550,CNJ,Cessna Citation II
C525,CNJ,Cessna CitationJet
C510,CNJ,Cessna Citation Mustang
C500,CNJ,Cessna Citation I
C310,—,Cessna 310
C212,CS2,CASA / IPTN 212 Aviocar
C208,CN1,Cessna 208 Caravan
C130,LOH,Lockheed L-182 / 282 / 382 (L-100) Hercules
C56X,CNJ,Cessna Citation Excel
C46,CWC,Curtiss C-46 Commando
C30J,LOH,Lockheed Martin C-130J Hercules
C25C,CNJ,Cessna Citation CJ4
C25B,CNJ,Cessna Citation CJ3
C25A,CNJ,Cessna Citation CJ2
C5M,N/A,Lockheed C-5M Super Galaxy
BN2P,BNI,Pilatus Britten-Norman BN-2A/B Islander
BLCF,74B,Boeing 747 LCF Dreamlifter
BER2,—,Beriev Be-200 Altair
BELF,SHB,Shorts SC-5 Belfast
BE99,,Beechcraft Model 99
BE76,—,Beechcraft Model 76 Duchess
BE58,—,Beechcraft 58 Baron
BE55,—,Beechcraft 55 Baron
BE40,—,Hawker 400
BE20,—,Beechcraft (Super) King Air 200
BCS3,223,Airbus A220-300
BCS1,221,Airbus A220-100
BA11,B11,British Aerospace (BAC) One Eleven
B789,789,Boeing 787-9
B788,788,Boeing 787-8
B779,779,Boeing 777-9
B778,778,Boeing 777-8
B773,773,Boeing 777-300
B772,772,Boeing 777-200 / Boeing 777-200ER
B764,764,Boeing 767-400ER
B763,763,Boeing 767-300
B763,76W,Boeing 767-300 Winglets / Boeing 767-300ER
B763,76Y,Boeing 767-300 Freighter
B762,762,Boeing 767-200 / Boeing 767-200ER
B762,76X,Boeing 767-200 Freighter / Boeing 767-200ER
B753,753,Boeing 757-300
B752,752,Boeing 757-200
B752,75F,Boeing 757F
B748,74H,Boeing 747-8I
B748,74N,Boeing 747-8F
B744,744,Boeing 747-400 / Boeing 747-400ER
B744,74E,Boeing 747-400M
B744,74Y,Boeing 747-400F / Boeing 747-400ERF
B743,743,Boeing 747-300
B743,74D,Boeing 747-300M
B742,742,Boeing 747-200
B742,74C,Boeing 747-200M
B742,74X,Boeing 747-200F
B741,741,Boeing 747-100
B741,74T,Boeing 747-100 Freighter
B739,739,Boeing 737-900 / Boeing 737-900ER
B739,73J,Boeing 737-900 Winglets
B738,738,Boeing 737-800
B738,73H,Boeing 737-800 Winglets
B738,73K,Boeing 737-800 Freighter Winglets
B738,73U,Boeing 737-800 Freighter
B737,73G,Boeing 737-700 / Boeing 737-700ER
B737,73W,Boeing 737-700 Winglets
B736,736,Boeing 737-600
B735,735,Boeing 737-500
B735,73E,Boeing 737-500 Winglets
B734,734,Boeing 737-400
B734,73P,Boeing 737-400 Freighter
B733,733,Boeing 737-300
B733,73C,Boeing 737-300 Winglets
B733,73Y,Boeing 737-300 Freighter
B732,732,Boeing 737-200
B732,73F,Boeing 737-200 Freighter
B722,722,Boeing 727-200
B721,721,Boeing 727-100
B720,B72,Boeing 720B
B712,717,Boeing 717
B703,703,Boeing 707
B463,143,BAe 146-300 / Avro RJ100
B462,142,BAe 146-200 / Avro RJ85
B461,141,BAe 146-100 / Avro RJ70
B429,BH2,Bell 429
B412,BH2,Bell 412
B212,BH2,Bell 212
B190,BEH,Beechcraft 1900
B105,MBH,Eurocopter (MBB) Bo.105
B78X,781,Boeing 787-10
B77W,77W,Boeing 777-300ER
B77L,77X,Boeing 777-200 Freighter
B77L,77L,Boeing 777-200LR
B74S,74L,Boeing 747SP
B74R,74R,Boeing 747SR
B74R,74V,Boeing 747SR Freighter
B52,N/A,Boeing B-52 Stratofortress
B39M,7M9,Boeing 737 MAX 9
B38M,7M8,Boeing 737 MAX 8
B37M,7M7,Boeing 737 MAX 7
B06T,,Bell 206 TwinRanger
B06,,Bell 206 JetRanger
B3XM,7MJ,Boeing 737 MAX 10
ATP,ATP,British Aerospace ATP
AT76,ATR,Aerospatiale/Alenia ATR 72-212A (600)
AT75,ATR,Aerospatiale/Alenia ATR 72-212A (500)
AT73,ATR,Aerospatiale/Alenia ATR 72-211/-212
AT72,AT7,Aerospatiale/Alenia ATR 72-201/-202
AT46,ATR,Aerospatiale/Alenia ATR 42-600
AT45,AT5,Aerospatiale/Alenia ATR 42-500
AT43,AT4,Aerospatiale/Alenia ATR 42-300 / 320
AS50,NDE,Eurocopter AS350 Écureuil / AS550 Fennec
AS32,APH,Eurocopter AS332 Super Puma
AN72,AN7,Antonov An-72 / An-74
AN32,A32,Antonov An-32
AN30,A30,Antonov An-30
AN28,A28,Antonov An-28
AN26,A26,Antonov An-26
AN24,AN4,Antonov An-24
AN12,ANF,Antonov An-12
AJ27,C27,COMAC ARJ21
AC90,ACT,Gulfstream/Rockwell (Aero) Turbo Commander 690
AC68,ACP,Gulfstream/Rockwell (Aero) Commander 680
A748,HS7,Hawker Siddeley HS 748
A400,,Airbus A400M Atlas
A388,388,Airbus A380-800
A359,359,Airbus A350-900
A346,346,Airbus A340-600
A345,345,Airbus A340-500
A343,343,Airbus A340-300
A342,342,Airbus A340-200
A339,339,Airbus A330-900
A338,338,Airbus A330-800
A337,[to be determined],"Airbus A330-700 ""BelugaXL"""
A333,333,Airbus A330-300
A333,33Y,Airbus A330-300 Freighter
A332,332,Airbus A330-200
A332,33X,Airbus A330-200 Freighter
A321,321,Airbus A321
A321,32B,Airbus A321 (sharklets)
A320,320,Airbus A320
A320,32A,Airbus A320 (sharklets)
A319,319,Airbus A319
A319,32D,Airbus A319 (sharklets)
A318,318,Airbus A318
A318,32C,Airbus A318 (sharklets)
A310,312,Airbus A310-200
A310,313,Airbus A310-300
A306,AB6,Airbus A300-600
A306,ABY,Airbus A300-600 Freighter[4]
A225,A5F,Antonov An-225 Mriya
A158,A58,Antonov An-158
A148,A81,Antonov An-148
A140,A40,Antonov An-140
A124,A4F,Antonov An-124 Ruslan
A35K,351,Airbus A350-1000
A30B,AB4,"Airbus A300B2, A300B4 and A300C4"
A21N,32Q,Airbus A321neo
A20N,32N,Airbus A320neo
A19N,31N,Airbus A319neo
A3ST,ABB,"Airbus A300-600ST ""Super Transporter"" / ""Beluga"""
